Date,0157B1,03B8CF,055018,061366,0624BE,063384,067779,06EF42,07EC43,095294,SP500
2008-01-10,-0.011264961276695622,0.0002494076568150146,-0.009919261822376003,-0.03534685165421558,-0.02277570591369198,-0.011587215180029621,0.004967709885742744,0.05792972459639138,-0.034149484536082436,0.020433284096504318,0.007948166599249053
2008-01-11,-0.037740327557559884,-0.03278892906121426,-0.0076887232059645455,-0.021994070009293265,-0.03421016764345107,0.01770259638080252,-0.02224419179436477,-0.008078994614003578,-0.09573048699132758,-0.007720144752714119,-0.013595432047481886
2008-01-14,0.022076961026147045,0.011858726475895871,0.011270251232683654,0.017013574660633444,0.0073384137736381035,0.028218013142636302,-0.0030333670374116414,0.04434389140271479,0.04573957949096282,-0.011184050571359126,0.010870651382564146
2008-01-15,-0.031736454688065845,-0.016815286624203736,-0.024843278384026012,-0.08885032924007831,-0.016531241244045848,-0.04353383458646621,-0.011409736308316322,-0.020797227036395013,-0.05925925925925925,-0.0383575116793706,-0.02492497793468664
2008-01-16,0.0013708873379861678,0.001554806944804228,0.036666666666666646,-0.11343327310903849,0.0256410256410256,-0.06666142598852284,0.01384970505257756,0.018584070796460093,-0.017622797150356296,0.0035796471490667494,-0.005612078641514899
2008-01-17,-0.002862476664592369,-0.03027166882276848,-0.05695911805236557,-0.07909231108173614,0.0029166666666665796,-0.06695864566663862,-0.035416139640779117,0.01737619461337976,0.033587786259541945,-0.009426751592356623,-0.029092630352461436
2008-01-18,-0.0044932601098353064,-0.0006670224119530038,-0.03360935216755973,0.05191387559808617,-0.02229608087522503,-0.014984654269723745,0.0034093889325988837,0.03586678052946199,-0.03988183161004425,0.01131687242798348,-0.006045452840802491
2008-01-22,-0.01817953861584749,0.0034708316646643324,0.0012600806451612187,0.027689333636570414,0.04575070821529751,-0.02474340175953082,0.04051228437009943,0.06347897774113763,-0.024999999999999946,-0.016785350966429392,-0.011085128252184898
2008-01-23,-0.055037670795556125,0.012371956897698452,0.11250943871130144,-0.08854771784232363,0.05079236082893133,-0.010618304829919146,0.061291132881185574,0.12015503875968983,0.06508875739644965,-0.004397309881013829,0.021442197634490585
2008-01-24,0.049594594594594595,-0.004862023653087915,0.0803167420814479,0.04075996236608093,0.001160092807424638,0.06524836166777462,0.01325443786982254,0.07128027681660908,-0.007037037037037085,0.018446349701221117,0.01006267742417455
